iter	Logloss
0	0.6245497825
1	0.564571876
2	0.5161551363
3	0.4726478241
4	0.4357452527
5	0.4045447766
6	0.3778236142
7	0.3546388704
8	0.3340778574
9	0.317650955
10	0.3025118312
11	0.2889442511
12	0.27666285
13	0.2676343115
14	0.2593554667
15	0.2517392597
16	0.2452813654
17	0.2394547131
18	0.2336591203
19	0.2280565232
20	0.2232679003
21	0.2186236346
22	0.2152376299
23	0.212395636
24	0.2095001357
25	0.2064979912
26	0.2042537785
27	0.2021300181
28	0.2003111549
29	0.1983272982
30	0.196719931
31	0.1952594078
32	0.1939353277
33	0.1924787339
34	0.1909650853
35	0.1898204287
36	0.1887250541
37	0.1878115552
38	0.1868412063
39	0.1858758066
40	0.1852015077
41	0.1845040861
42	0.183841708
43	0.1830817031
44	0.1823715665
45	0.181704056
46	0.1808502744
47	0.1803518386
48	0.1798015832
49	0.1794332992
50	0.1789900137
51	0.1784444751
52	0.178121367
53	0.1776937218
54	0.1773312071
55	0.1770496421
56	0.1763482028
57	0.1760498501
58	0.1758209196
59	0.1753901005
60	0.1747909677
61	0.1744837083
62	0.1740805693
63	0.173634174
64	0.1731999961
65	0.1729218094
66	0.1726097924
67	0.1722460945
68	0.1720173498
69	0.1717313408
70	0.1715194242
71	0.1712622661
72	0.1709460315
73	0.1708277729
74	0.1707394522
75	0.1705480746
76	0.1703637936
77	0.1701644419
78	0.1697609034
79	0.169559898
80	0.1693266381
81	0.1690773937
82	0.1687491191
83	0.1685505164
84	0.1684213244
85	0.1681544335
86	0.1679989644
87	0.1676546546
88	0.1675372253
89	0.1673048905
90	0.1670898713
91	0.1669357649
92	0.1667822353
93	0.1664793919
94	0.1662727114
95	0.1660127227
96	0.1658469431
97	0.1656579184
98	0.165461942
99	0.1652267066
100	0.1650614668
101	0.1649582872
102	0.1648380053
103	0.1646869929
104	0.1644998892
105	0.1641901182
106	0.1641049622
107	0.1639557064
108	0.163817378
109	0.1636879628
110	0.1635551326
111	0.1634211543
112	0.1631315911
113	0.1629686985
114	0.1628782473
115	0.1626577981
116	0.1625357131
117	0.1623702851
118	0.1622379276
119	0.1621256453
120	0.16202122
121	0.1619470711
122	0.1618504064
123	0.1617563868
124	0.1616850394
125	0.1615978028
126	0.161425009
127	0.1613375239
128	0.1612506077
129	0.1611018546
130	0.1610080971
131	0.1608608044
132	0.1607339726
133	0.1605626104
134	0.1604607688
135	0.1602833036
136	0.1601160922
137	0.1600648125
138	0.1599622955
139	0.1598565279
140	0.1598113731
141	0.1597513764
142	0.1596791599
143	0.1596164728
144	0.159528266
145	0.1594098418
146	0.1592473483
147	0.1591363224
148	0.1590572475
149	0.1589565537
150	0.1588097324
151	0.1587525182
152	0.1586694016
153	0.1585900431
154	0.1585400395
155	0.1584406811
156	0.1583233836
157	0.1582186784
158	0.1581404954
159	0.158082554
160	0.1578191668
161	0.1577278345
162	0.1576966536
163	0.1575479614
164	0.1574455247
165	0.1573494368
166	0.1572621792
167	0.15718234
168	0.1570656193
169	0.1570167094
170	0.1568803598
171	0.1567912213
172	0.156748589
173	0.1566487708
174	0.1565103037
175	0.1563638331
176	0.1563025596
177	0.1562435518
178	0.1561825801
179	0.1561204961
180	0.1560613623
181	0.155976081
182	0.1559409886
183	0.1558950805
184	0.1558029498
185	0.1557563629
186	0.1556711332
187	0.1556004805
188	0.1554997934
189	0.1554362314
190	0.1552258379
191	0.1551637013
192	0.1550594781
193	0.1550068977
194	0.1549390563
195	0.1548953476
196	0.1548206113
197	0.1545717339
198	0.1544251399
199	0.1542224987
200	0.1541186712
201	0.1540517123
202	0.1540362539
203	0.1539343852
204	0.1538861896
205	0.1537873896
206	0.1537447262
207	0.1536715425
208	0.1535961132
209	0.1535475916
