iter	Passed	Remaining
0	10	1072
1	22	1080
2	33	1088
3	45	1084
4	57	1087
5	70	1107
6	82	1099
7	94	1083
8	105	1066
9	116	1049
10	127	1030
11	138	1014
12	149	997
13	159	978
14	169	958
15	180	946
16	191	932
17	201	918
18	211	901
19	223	892
20	233	876
21	243	863
22	253	848
23	264	837
24	275	827
25	286	814
26	297	803
27	307	791
28	319	781
29	329	769
30	340	757
31	349	743
32	360	731
33	371	721
34	384	713
35	393	700
36	403	687
37	414	676
38	425	665
39	436	654
40	446	642
41	456	630
42	466	618
43	477	607
44	487	595
45	497	583
46	507	572
47	518	561
48	528	550
49	538	538
50	548	526
51	558	515
52	567	503
53	577	491
54	586	480
55	596	468
56	607	458
57	617	446
58	627	436
59	636	424
60	646	413
61	656	402
62	666	391
63	677	381
64	688	370
65	698	359
66	707	348
67	717	337
68	727	326
69	737	316
70	747	305
71	757	294
72	767	284
73	779	273
74	789	263
75	799	252
76	809	241
77	819	231
78	828	220
79	839	209
80	848	199
81	859	188
82	869	177
83	878	167
84	888	156
85	897	146
86	908	135
87	918	125
88	928	114
89	938	104
90	948	93
91	959	83
92	969	72
93	979	62
94	989	52
95	999	41
96	1009	31
97	1019	20
98	1029	10
99	1040	0
